id,poli,nomor_antrian,nama_pasien,nik,status,timestamp,dokter
1522,Poli Gizi,POLI-343,"Diana Firgantoro, S.IP",0380402008644786,done,2025-03-27 12:00:00,dr. Eka
1523,Poli Lansia,POLI-076,"Bala Aryani, S.H.",2529550189237112,done,2025-01-19 12:00:00,dr. Fajar
1524,Poli Gizi,POLI-839,Pia Pertiwi,0828743375076345,serving,2025-05-11 12:00:00,dr. Citra
1525,Poli Gizi,POLI-560,Vino Hardiansyah,8419851272743601,done,2025-03-24 12:00:00,dr. Dina
1526,Poli Lansia,POLI-996,Ghani Nugroho,4102979183115234,done,2025-04-04 10:00:00,dr. Eka
1527,Poli Gizi,POLI-724,Marwata Hutagalung,9288543399492859,done,2025-04-03 14:00:00,dr. Citra
1528,Poli Umum,POLI-748,Bella Nugroho,3683103201374265,done,2025-03-05 09:00:00,dr. Fajar
1529,Poli Lansia,POLI-404,"Cut Lidya Tarihoran, S.E.",4087531004835076,done,2025-01-23 15:00:00,dr. Dina
1530,Poli Lansia,POLI-889,R.M. Waluyo Budiyanto,4438227735375624,waiting,2025-05-31 17:00:00,dr. Dina
1531,Poli KB,POLI-166,Dadap Sihotang,9815593783991008,done,2025-04-05 17:00:00,dr. Citra
1532,Poli KIA,POLI-585,"R.A. Vanya Narpati, S.Farm",7205919271773180,done,2025-01-12 12:00:00,dr. Dina
1533,Poli KB,POLI-123,Wulan Latupono,4742937275121595,done,2025-01-02 16:00:00,dr. Eka
1534,Poli Lansia,POLI-644,"R. Talia Mangunsong, S.E.",7653348253176632,waiting,2025-02-18 11:00:00,dr. Andi
1535,Poli Umum,POLI-946,dr. Sidiq Siregar,2164417701752121,done,2025-05-08 12:00:00,dr. Fajar
1536,Poli Lansia,POLI-059,"R.A. Carla Sihombing, M.M.",6147394615120410,done,2025-05-15 17:00:00,dr. Citra
1537,Poli KIA,POLI-094,Mulya Lailasari,5921677095336482,waiting,2025-04-01 10:00:00,dr. Budi
1538,Poli KIA,POLI-815,"Nova Halimah, M.TI.",4398969567466124,done,2025-03-03 14:00:00,dr. Citra
1539,Poli Gizi,POLI-317,"T. Harsaya Ramadan, M.Pd",7782921396352080,done,2025-03-28 17:00:00,dr. Fajar
1540,Poli Umum,POLI-541,Juli Lailasari,2457876280427013,done,2025-02-14 10:00:00,dr. Fajar
1541,Poli Gigi,POLI-014,Sutan Danu Mayasari,3424915027445926,done,2025-04-24 09:00:00,dr. Andi
1542,Poli Gigi,POLI-033,"Wardaya Winarno, M.TI.",6974622029749491,serving,2025-04-23 16:00:00,dr. Eka
1543,Poli Gizi,POLI-198,Hana Saragih,6662160669742491,serving,2025-05-15 17:00:00,dr. Eka
1544,Poli Umum,POLI-960,Karja Kurniawan,7749442068477777,done,2025-03-02 13:00:00,dr. Fajar
1545,Poli Gigi,POLI-240,Dt. Karsana Waluyo,1344420560567060,done,2025-03-29 12:00:00,dr. Andi
1546,Poli Lansia,POLI-355,Zulfa Habibi,4913479834666671,done,2025-01-16 12:00:00,dr. Dina
1547,Poli KIA,POLI-078,Sabrina Mahendra,3342934541445622,waiting,2025-01-01 09:00:00,dr. Citra
1548,Poli KIA,POLI-911,"Galih Saptono, S.IP",1444638583062342,waiting,2025-04-27 11:00:00,dr. Andi
1549,Poli Lansia,POLI-447,Dodo Kuswoyo,4572505591547591,done,2025-02-19 09:00:00,dr. Eka
1550,Poli Umum,POLI-716,Nabila Lazuardi,4598736243058807,waiting,2025-02-16 18:00:00,dr. Citra
1551,Poli KIA,POLI-796,Kanda Nainggolan,2203847464657951,waiting,2025-03-22 13:00:00,dr. Andi
1552,Poli KIA,POLI-461,Hj. Irma Yuliarti,1029592899374230,serving,2025-03-09 16:00:00,dr. Dina
1553,Poli KB,POLI-538,Putri Wijaya,7267741945985800,waiting,2025-01-09 09:00:00,dr. Andi
1554,Poli Gigi,POLI-906,"Drs. Karman Susanti, S.Pd",9029489841095793,serving,2025-04-29 10:00:00,dr. Citra
1555,Poli Lansia,POLI-853,H. Ridwan Sitorus,2005674696591409,done,2025-03-03 09:00:00,dr. Dina
1556,Poli KB,POLI-016,Yuni Pertiwi,9969864552664139,waiting,2025-01-20 12:00:00,dr. Eka
1557,Poli Umum,POLI-905,drg. Aisyah Ardianto,0383973731467687,done,2025-05-22 13:00:00,dr. Citra
1558,Poli KB,POLI-240,Legawa Purwanti,5351362355069798,waiting,2025-02-19 13:00:00,dr. Andi
1559,Poli Umum,POLI-830,"Nurul Kuswoyo, M.Farm",9942398260020992,done,2025-04-22 08:00:00,dr. Dina
1560,Poli KB,POLI-023,Lamar Nashiruddin,5445815382327482,done,2025-01-26 15:00:00,dr. Citra
1561,Poli Gizi,POLI-656,Lantar Winarsih,9631385903420299,waiting,2025-01-27 09:00:00,dr. Citra
1562,Poli Umum,POLI-035,Drs. Elma Suartini,2196640114415174,waiting,2025-05-25 08:00:00,dr. Eka
1563,Poli Gizi,POLI-066,Damu Utama,0165181554732873,done,2025-02-19 11:00:00,dr. Dina
1564,Poli Umum,POLI-344,Tgk. Queen Safitri,2042877044507582,done,2025-04-20 13:00:00,dr. Eka
1565,Poli Umum,POLI-218,"Rini Pratiwi, M.Farm",9412259720745854,done,2025-03-28 17:00:00,dr. Dina
1566,Poli KB,POLI-359,Harsanto Salahudin,2866604627604658,waiting,2025-01-30 14:00:00,dr. Fajar
1567,Poli KB,POLI-944,"Genta Anggriawan, S.E.I",9291666786282126,serving,2025-01-02 16:00:00,dr. Budi
1568,Poli Umum,POLI-069,Praba Kusmawati,7715429881129180,serving,2025-02-06 12:00:00,dr. Eka
1569,Poli KIA,POLI-196,"Mujur Suryono, S.Pt",0754555805084469,waiting,2025-03-10 09:00:00,dr. Eka
1570,Poli Lansia,POLI-072,"Lembah Putra, M.Farm",5159940844665228,done,2025-01-28 13:00:00,dr. Fajar
1571,Poli Gigi,POLI-241,Diah Hartati,7538430259669034,done,2025-01-06 09:00:00,dr. Andi
1572,Poli Lansia,POLI-709,Kairav Lazuardi,0971820562200592,done,2025-05-03 18:00:00,dr. Budi
1573,Poli Lansia,POLI-919,Rini Sinaga,8038184280756736,waiting,2025-02-04 15:00:00,dr. Budi
1574,Poli Gizi,POLI-389,Eva Siregar,3184413952649001,done,2025-04-15 14:00:00,dr. Eka
1575,Poli KB,POLI-495,Hairyanto Hartati,1047150216186874,done,2025-03-04 15:00:00,dr. Dina
1576,Poli KIA,POLI-285,Zelaya Sitompul,5947597162997043,waiting,2025-02-16 10:00:00,dr. Dina
1577,Poli Umum,POLI-608,T. Jamil Oktaviani,5619782822893925,done,2025-02-08 13:00:00,dr. Eka
1578,Poli Gizi,POLI-662,"Puti Laksita, S.Farm",8150443629323200,done,2025-03-18 15:00:00,dr. Dina
1579,Poli Gigi,POLI-911,Agus Fujiati,4680737219093430,waiting,2025-02-03 13:00:00,dr. Fajar
1580,Poli Gizi,POLI-568,"Kacung Suryatmi, S.IP",6332611242147782,waiting,2025-05-23 14:00:00,dr. Andi
1581,Poli KIA,POLI-636,"R. Wadi Laksmiwati, S.I.Kom",7073452000674550,serving,2025-02-22 10:00:00,dr. Andi
1582,Poli KIA,POLI-920,"Puti Putri Firmansyah, S.Kom",4226403017103203,done,2025-01-24 09:00:00,dr. Eka
1583,Poli Gigi,POLI-679,Ir. Kunthara Gunawan,0802443466693197,done,2025-04-26 18:00:00,dr. Fajar
1584,Poli Gizi,POLI-864,Anita Mandala,3600063408032878,done,2025-05-30 13:00:00,dr. Andi
1585,Poli KIA,POLI-118,"Tari Maulana, S.E.",4588560146635666,done,2025-01-06 16:00:00,dr. Dina
1586,Poli Gizi,POLI-501,Aslijan Nainggolan,4714468299537653,done,2025-03-24 10:00:00,dr. Budi
1587,Poli Lansia,POLI-834,"Tania Suwarno, S.Sos",3091908448022400,waiting,2025-01-18 14:00:00,dr. Andi
1588,Poli KIA,POLI-182,Drs. Victoria Safitri,1512280148593836,done,2025-03-17 09:00:00,dr. Budi
1589,Poli Gizi,POLI-635,"Dr. Maida Gunawan, S.E.I",6750213569936055,done,2025-05-25 10:00:00,dr. Budi
1590,Poli Lansia,POLI-040,"Tasnim Prayoga, M.Kom.",2710738371243015,done,2025-02-06 15:00:00,dr. Citra
1591,Poli KIA,POLI-263,"Teguh Purwanti, S.Sos",0213651339835710,done,2025-02-19 14:00:00,dr. Eka
1592,Poli Gizi,POLI-660,"Julia Yulianti, M.Ak",5056901191825931,done,2025-01-09 11:00:00,dr. Eka
1593,Poli Gigi,POLI-701,Taufik Zulaika,4043484989888008,done,2025-03-04 10:00:00,dr. Andi
1594,Poli KB,POLI-320,Elvina Hidayat,1058438034350920,waiting,2025-03-19 09:00:00,dr. Fajar
1595,Poli Umum,POLI-782,Cengkir Nainggolan,3024383804439857,done,2025-05-16 16:00:00,dr. Budi
1596,Poli Gigi,POLI-632,Farah Nababan,5020032783819190,done,2025-04-29 09:00:00,dr. Dina
1597,Poli Lansia,POLI-453,Hartaka Maulana,1299642506340822,done,2025-02-25 13:00:00,dr. Budi
1598,Poli Gigi,POLI-889,Mursinin Iswahyudi,2776041445909203,waiting,2025-05-29 14:00:00,dr. Dina
1599,Poli Gigi,POLI-930,"Drs. Lintang Pradipta, S.I.Kom",7478361455845420,serving,2025-02-08 18:00:00,dr. Andi
1600,Poli KB,POLI-924,"Ibun Sihombing, S.Sos",1726768449998810,serving,2025-02-23 09:00:00,dr. Eka
1601,Poli Gizi,POLI-027,"Bakiono Nasyiah, M.M.",6476394108706431,done,2025-01-14 15:00:00,dr. Fajar
1602,Poli Umum,POLI-430,Cagak Pradipta,5044756334838383,done,2025-04-03 18:00:00,dr. Dina
1603,Poli KIA,POLI-441,Drs. Ciaobella Pudjiastuti,2010350138304782,done,2025-05-13 10:00:00,dr. Fajar
1604,Poli Lansia,POLI-694,Bancar Widodo,3661973569266344,waiting,2025-03-08 16:00:00,dr. Budi
1605,Poli Lansia,POLI-893,"Elisa Nasyiah, S.Gz",5144964643402556,done,2025-01-10 08:00:00,dr. Eka
1606,Poli KB,POLI-326,Zizi Mahendra,6216263256417765,done,2025-05-15 08:00:00,dr. Eka
1607,Poli Umum,POLI-508,"Dt. Jatmiko Kusmawati, S.E.",0364851936421385,done,2025-03-21 12:00:00,dr. Citra
1608,Poli Gigi,POLI-368,Zulaikha Jailani,5541055112701488,done,2025-01-10 16:00:00,dr. Fajar
1609,Poli KIA,POLI-673,Ika Prastuti,3748970944985718,waiting,2025-01-24 10:00:00,dr. Citra
1610,Poli Gizi,POLI-984,Restu Purwanti,5246553148831466,done,2025-05-18 14:00:00,dr. Budi
1611,Poli KB,POLI-087,"Dr. Tirtayasa Ramadan, S.IP",5225050663663608,waiting,2025-02-27 14:00:00,dr. Eka
1612,Poli KIA,POLI-614,Asmadi Natsir,2690671306486163,done,2025-01-27 10:00:00,dr. Fajar
1613,Poli KIA,POLI-622,"Tgk. Ega Pradana, S.Pd",5970717069715996,waiting,2025-04-25 09:00:00,dr. Eka
1614,Poli KB,POLI-274,"KH. Emas Sinaga, S.T.",6232620202460790,done,2025-03-23 16:00:00,dr. Fajar
1615,Poli Gizi,POLI-698,Sadina Mansur,9043282585943948,done,2025-02-07 12:00:00,dr. Dina
1616,Poli Lansia,POLI-516,Prabu Saputra,4100988925533794,done,2025-02-14 16:00:00,dr. Andi
1617,Poli Gigi,POLI-741,"Drs. Yuni Prastuti, S.Farm",3509299832013830,waiting,2025-05-05 10:00:00,dr. Citra
1618,Poli Gizi,POLI-378,Ani Pradana,9519527093112995,done,2025-03-08 12:00:00,dr. Fajar
1619,Poli Umum,POLI-275,Olivia Dabukke,0438484508543203,done,2025-01-17 09:00:00,dr. Fajar
1620,Poli KB,POLI-225,Empluk Astuti,7369447576869761,serving,2025-02-19 18:00:00,dr. Citra
1621,Poli Gizi,POLI-849,Tirtayasa Iswahyudi,6425352314701457,done,2025-03-27 12:00:00,dr. Budi
1622,Poli Umum,POLI-949,"Ani Melani, S.I.Kom",8592541535885738,done,2025-04-20 16:00:00,dr. Dina
1623,Poli KIA,POLI-137,Sabri Handayani,6489464595836914,done,2025-01-19 14:00:00,dr. Eka
1624,Poli KIA,POLI-689,"Kenzie Suartini, S.E.I",1340359289339150,done,2025-01-29 13:00:00,dr. Andi
1625,Poli KB,POLI-654,Tugiman Hidayanto,7111414966650974,done,2025-02-07 09:00:00,dr. Fajar
1626,Poli KIA,POLI-854,Vinsen Uwais,9770596196557182,done,2025-05-20 08:00:00,dr. Andi
1627,Poli Gizi,POLI-075,"Ir. Rahman Haryanto, S.Sos",1973854043897690,serving,2025-01-05 16:00:00,dr. Eka
1628,Poli Lansia,POLI-906,Zalindra Purnawati,7132221365284477,done,2025-02-01 18:00:00,dr. Andi
1629,Poli KIA,POLI-974,Usyi Suartini,5692616432150320,done,2025-05-31 13:00:00,dr. Andi
1630,Poli KIA,POLI-147,"R.M. Tirtayasa Zulaika, M.Ak",0987277454049705,done,2025-03-19 15:00:00,dr. Eka
1631,Poli KB,POLI-912,Putu Agustina,8906776837999667,done,2025-04-18 09:00:00,dr. Citra
1632,Poli Gizi,POLI-388,Satya Lailasari,7608127288613724,done,2025-02-05 10:00:00,dr. Eka
1633,Poli Lansia,POLI-767,"Baktiono Puspita, M.Pd",5205490625959670,done,2025-02-11 08:00:00,dr. Eka
1634,Poli KIA,POLI-536,Waluyo Kurniawan,5223884740699395,done,2025-01-06 08:00:00,dr. Fajar
1635,Poli KB,POLI-011,"Tedi Melani, S.I.Kom",1440196102445787,serving,2025-02-15 17:00:00,dr. Andi
1636,Poli Gigi,POLI-950,R.M. Kemba Puspasari,7391686238204864,waiting,2025-01-11 11:00:00,dr. Fajar
1637,Poli KIA,POLI-159,"Joko Wacana, S.I.Kom",3801518970262094,serving,2025-04-28 15:00:00,dr. Andi
1638,Poli KIA,POLI-424,"Adikara Sihotang, M.Ak",8035398181231653,done,2025-03-26 13:00:00,dr. Andi
1639,Poli Gigi,POLI-976,Nilam Astuti,3655980182778425,waiting,2025-05-18 10:00:00,dr. Eka
1640,Poli Lansia,POLI-199,Dr. Kamila Tampubolon,7287392336812532,done,2025-04-06 08:00:00,dr. Eka
1641,Poli KB,POLI-053,"dr. Vera Puspasari, M.TI.",8464876060795182,waiting,2025-03-11 13:00:00,dr. Citra
1642,Poli KB,POLI-145,Nabila Nurdiyanti,6738713562896238,done,2025-01-11 14:00:00,dr. Fajar
1643,Poli Gigi,POLI-411,Dinda Oktaviani,9398868880382570,done,2025-03-26 12:00:00,dr. Citra
1644,Poli KB,POLI-382,"Ir. Dewi Anggriawan, S.Gz",2132628707233566,done,2025-05-10 17:00:00,dr. Dina
1645,Poli KIA,POLI-814,Ade Namaga,3282631847538303,done,2025-05-03 15:00:00,dr. Budi
1646,Poli Gizi,POLI-916,"Dt. Prasetyo Gunarto, S.Psi",9692650663356410,waiting,2025-01-07 13:00:00,dr. Budi
1647,Poli KIA,POLI-091,"R. Galur Mansur, S.Gz",4004909739887123,done,2025-05-24 17:00:00,dr. Eka
1648,Poli Gigi,POLI-663,Maimunah Kurniawan,6785408031368133,done,2025-04-19 11:00:00,dr. Dina
1649,Poli Gigi,POLI-499,"R. Salwa Puspasari, M.Pd",4815779172184244,done,2025-01-20 10:00:00,dr. Fajar
1650,Poli KB,POLI-065,dr. Uchita Rahayu,2296805967310839,done,2025-01-27 16:00:00,dr. Andi
1651,Poli Umum,POLI-772,Galang Sinaga,6201283160583184,serving,2025-01-01 18:00:00,dr. Fajar
1652,Poli Lansia,POLI-377,R.M. Prasetyo Maheswara,5781694806311432,serving,2025-01-31 16:00:00,dr. Dina
1653,Poli KB,POLI-631,Ibrani Najmudin,6641476872059247,done,2025-05-09 15:00:00,dr. Dina
1654,Poli KB,POLI-095,"Tgk. Dodo Rahimah, M.M.",0537719408081896,done,2025-05-13 16:00:00,dr. Budi
1655,Poli Gigi,POLI-885,"Rina Haryanti, M.Pd",8180348813755597,done,2025-03-29 11:00:00,dr. Andi
1656,Poli Umum,POLI-734,Jarwadi Yulianti,8132836499530453,done,2025-05-07 17:00:00,dr. Budi
1657,Poli Gigi,POLI-476,Yono Najmudin,1001097762190722,done,2025-02-12 09:00:00,dr. Fajar
1658,Poli Umum,POLI-288,drg. Vega Yulianti,1737429429992904,waiting,2025-04-14 14:00:00,dr. Fajar
1659,Poli KB,POLI-649,Carla Mahendra,0950683938333458,done,2025-05-13 16:00:00,dr. Eka
1660,Poli Gigi,POLI-127,"Dt. Caraka Gunarto, S.Kom",8554976870878845,done,2025-01-11 10:00:00,dr. Fajar
1661,Poli Umum,POLI-789,Pranata Habibi,0532895080538288,done,2025-02-21 17:00:00,dr. Budi
1662,Poli Gizi,POLI-374,"Queen Kusumo, S.H.",2506005889879552,done,2025-04-01 17:00:00,dr. Dina
1663,Poli KB,POLI-740,Rahmat Suryatmi,2346370341957009,done,2025-03-17 14:00:00,dr. Budi
1664,Poli Umum,POLI-739,Dr. Lintang Zulaika,8556763118171234,done,2025-02-08 12:00:00,dr. Citra
1665,Poli Gigi,POLI-770,Drs. Puji Simbolon,9917606863609192,done,2025-03-23 18:00:00,dr. Citra
1666,Poli Gigi,POLI-558,"Cut Vivi Firgantoro, M.Kom.",0013261987715451,serving,2025-01-09 09:00:00,dr. Andi
1667,Poli KIA,POLI-691,"Tedi Hardiansyah, S.H.",8910961120151487,waiting,2025-04-01 13:00:00,dr. Dina
1668,Poli Umum,POLI-108,"Jayadi Astuti, M.Farm",2517149381483198,done,2025-02-13 12:00:00,dr. Dina
1669,Poli KB,POLI-492,Uda Maryati,0266529935509487,done,2025-02-27 14:00:00,dr. Fajar
1670,Poli KB,POLI-557,"Dt. Aris Santoso, M.Pd",2569980830525524,done,2025-05-09 10:00:00,dr. Fajar
1671,Poli KIA,POLI-745,"Tari Lailasari, S.Psi",3761296375786173,done,2025-05-22 10:00:00,dr. Fajar
1672,Poli Umum,POLI-644,Empluk Mayasari,1425813218868427,serving,2025-05-09 08:00:00,dr. Andi
1673,Poli Umum,POLI-985,Bagus Utami,2253651421589329,done,2025-05-03 14:00:00,dr. Citra
1674,Poli Gizi,POLI-875,Setya Padmasari,2072876344243930,waiting,2025-04-07 10:00:00,dr. Andi
1675,Poli Gizi,POLI-636,Diah Nababan,9032481075184967,done,2025-02-28 16:00:00,dr. Fajar
1676,Poli Umum,POLI-871,Mursinin Puspita,3040257487299895,done,2025-03-31 12:00:00,dr. Eka
1677,Poli Gigi,POLI-683,Ayu Maheswara,1810986545368657,done,2025-05-25 17:00:00,dr. Budi
1678,Poli KIA,POLI-586,"R.A. Mila Nainggolan, S.Pd",3179389554124377,done,2025-02-05 11:00:00,dr. Andi
1679,Poli Lansia,POLI-789,Maras Hastuti,2008556010835136,done,2025-04-07 16:00:00,dr. Andi
1680,Poli KIA,POLI-150,Uli Narpati,1350234033392587,waiting,2025-04-26 08:00:00,dr. Andi
1681,Poli Lansia,POLI-437,"R. Eli Wacana, S.Pt",4480289494074698,done,2025-02-18 14:00:00,dr. Dina
1682,Poli Gigi,POLI-647,Drs. Rini Jailani,6849556784122993,serving,2025-04-27 09:00:00,dr. Budi
1683,Poli Lansia,POLI-309,Ade Hidayat,1865844734898261,done,2025-01-17 10:00:00,dr. Eka
1684,Poli Lansia,POLI-612,"drg. Jayadi Sinaga, M.Kom.",1557534323583472,done,2025-01-13 09:00:00,dr. Fajar
1685,Poli Umum,POLI-550,"Tgk. Winda Hartati, S.H.",0808737808708751,done,2025-02-07 18:00:00,dr. Budi
1686,Poli Gigi,POLI-882,Nugraha Novitasari,4613104404663518,done,2025-04-07 15:00:00,dr. Fajar
1687,Poli Umum,POLI-050,"Mulya Purnawati, S.H.",7997811132470014,done,2025-04-14 14:00:00,dr. Andi
1688,Poli KB,POLI-259,Shania Mulyani,4333509668391735,done,2025-02-14 09:00:00,dr. Citra
1689,Poli KIA,POLI-541,Kanda Nainggolan,4608965682226790,serving,2025-05-19 09:00:00,dr. Andi
1690,Poli Umum,POLI-105,drg. Danang Hartati,1902465585990136,waiting,2025-01-18 16:00:00,dr. Dina
1691,Poli Gigi,POLI-750,Ir. Kani Mustofa,2768689510201873,done,2025-03-21 09:00:00,dr. Dina
1692,Poli Gizi,POLI-397,Hamima Winarno,4528760681099406,serving,2025-01-05 10:00:00,dr. Budi
1693,Poli KIA,POLI-262,Ir. Febi Damanik,0331810096053927,done,2025-02-09 09:00:00,dr. Eka
1694,Poli Umum,POLI-005,Dadap Permadi,5878602557642118,done,2025-03-19 10:00:00,dr. Eka
1695,Poli Gigi,POLI-002,"Indah Manullang, S.H.",7171334869991867,done,2025-02-09 18:00:00,dr. Citra
1696,Poli KIA,POLI-716,Martaka Lestari,4722078856921736,waiting,2025-05-30 11:00:00,dr. Andi
1697,Poli Umum,POLI-300,"Dt. Cengkir Anggriawan, S.Farm",8532609100934530,done,2025-04-13 10:00:00,dr. Citra
1698,Poli KIA,POLI-693,Bagya Lazuardi,2075720995662353,done,2025-01-09 11:00:00,dr. Andi
1699,Poli Umum,POLI-066,"Langgeng Prakasa, S.E.",1544013337782103,done,2025-01-06 18:00:00,dr. Andi
1700,Poli KB,POLI-240,"Hj. Novi Saputra, S.E.",6563773402997162,serving,2025-04-03 18:00:00,dr. Budi
1701,Poli KB,POLI-627,Rahmi Susanti,5510784638341659,done,2025-02-07 16:00:00,dr. Budi
1702,Poli Lansia,POLI-410,Ir. Kamidin Siregar,6107589749962395,done,2025-02-18 12:00:00,dr. Citra
1703,Poli Umum,POLI-607,Patricia Megantara,3187679822311908,done,2025-02-01 09:00:00,dr. Budi
1704,Poli Gizi,POLI-846,Tgk. Opan Anggraini,0561636147543948,done,2025-02-07 17:00:00,dr. Fajar
1705,Poli Lansia,POLI-329,Jaga Budiman,5618093430075191,done,2025-02-11 13:00:00,dr. Fajar
1706,Poli Gizi,POLI-618,"Hasta Lazuardi, S.H.",4603368154862329,done,2025-05-11 09:00:00,dr. Citra
1707,Poli Gizi,POLI-571,Icha Permadi,5337022423880366,done,2025-04-18 09:00:00,dr. Dina
1708,Poli Gizi,POLI-134,"T. Naradi Laksita, S.Ked",4512681707986062,waiting,2025-05-03 08:00:00,dr. Eka
1709,Poli Lansia,POLI-418,"H. Balangga Pratiwi, S.Ked",2637800934855921,done,2025-05-11 09:00:00,dr. Eka
1710,Poli Umum,POLI-006,Gara Padmasari,6090553065875408,done,2025-04-29 13:00:00,dr. Dina
1711,Poli Gigi,POLI-643,Cut Puput Hassanah,6856037194202391,waiting,2025-05-06 16:00:00,dr. Citra
1712,Poli Lansia,POLI-013,Makara Hutapea,2579121793097695,serving,2025-04-10 13:00:00,dr. Andi
1713,Poli KB,POLI-457,Paulin Maryadi,2906965791356048,serving,2025-02-12 15:00:00,dr. Fajar
1714,Poli KB,POLI-822,"Drs. Harjo Sihotang, M.Kom.",5865925708501022,done,2025-05-03 09:00:00,dr. Eka
1715,Poli KB,POLI-208,Edison Mayasari,1765917188720190,done,2025-04-03 14:00:00,dr. Citra
1716,Poli Lansia,POLI-258,"Irsad Marpaung, M.M.",9465982672119805,serving,2025-03-05 13:00:00,dr. Eka
1717,Poli KB,POLI-799,Lurhur Adriansyah,2559993115201453,done,2025-01-26 15:00:00,dr. Eka
1718,Poli KIA,POLI-707,Ana Andriani,0685835780812342,done,2025-02-26 17:00:00,dr. Budi
1719,Poli Gizi,POLI-261,R. Kasiran Astuti,7381304055848620,done,2025-03-10 13:00:00,dr. Andi
1720,Poli Gigi,POLI-323,Samiah Sihotang,3517534287833738,done,2025-04-29 11:00:00,dr. Fajar
1721,Poli Gizi,POLI-893,Harjasa Agustina,6085834810446694,done,2025-03-28 08:00:00,dr. Eka
1722,Poli Gizi,POLI-799,Suci Hakim,8663796829609275,done,2025-03-14 14:00:00,dr. Dina
1723,Poli KIA,POLI-958,Eko Samosir,0490150449963819,done,2025-04-03 11:00:00,dr. Dina
1724,Poli Lansia,POLI-068,T. Usman Siregar,7361358335731820,done,2025-03-10 18:00:00,dr. Dina
1725,Poli KIA,POLI-868,Purwadi Sirait,0399380728576702,done,2025-02-22 11:00:00,dr. Citra
1726,Poli Umum,POLI-685,"Dt. Darmaji Hasanah, S.Farm",5236798759984013,done,2025-05-01 08:00:00,dr. Citra
1727,Poli Lansia,POLI-859,Patricia Mandala,2145679894538602,serving,2025-01-16 16:00:00,dr. Citra
1728,Poli Umum,POLI-113,"Dr. Yuliana Suryatmi, S.Pd",5029363647312632,done,2025-05-24 14:00:00,dr. Eka
1729,Poli KB,POLI-486,"Kayla Utami, S.T.",1087015561036880,waiting,2025-05-09 10:00:00,dr. Budi
1730,Poli Lansia,POLI-758,Makara Putra,4372927707987744,done,2025-05-01 10:00:00,dr. Fajar
1731,Poli Gizi,POLI-215,R.A. Novi Nababan,1066675426950377,done,2025-03-14 14:00:00,dr. Citra
1732,Poli KB,POLI-281,Maya Setiawan,7440703405927340,done,2025-01-19 08:00:00,dr. Eka
1733,Poli Umum,POLI-901,Tira Permadi,6205179744118103,waiting,2025-01-29 13:00:00,dr. Fajar
1734,Poli Gizi,POLI-791,Clara Yuniar,8065242617613102,done,2025-04-09 18:00:00,dr. Andi
1735,Poli Gigi,POLI-493,Elvina Mahendra,8288139755154929,waiting,2025-04-24 11:00:00,dr. Citra
1736,Poli Umum,POLI-371,Catur Tampubolon,3955284817954008,waiting,2025-01-05 17:00:00,dr. Andi
1737,Poli Gigi,POLI-374,Jayeng Januar,7259087690726441,done,2025-04-25 18:00:00,dr. Citra
1738,Poli Gizi,POLI-300,Maryanto Utami,5213568036706710,done,2025-05-13 18:00:00,dr. Citra
1739,Poli Umum,POLI-972,Hadi Uyainah,4391645757440072,done,2025-01-29 17:00:00,dr. Andi
1740,Poli Umum,POLI-114,Aslijan Nasyidah,5112796990277641,done,2025-02-09 18:00:00,dr. Fajar
1741,Poli Lansia,POLI-437,Danang Suartini,3931716740290135,serving,2025-03-04 11:00:00,dr. Fajar
1742,Poli Umum,POLI-332,Timbul Usamah,6643286595795101,done,2025-04-18 10:00:00,dr. Dina
1743,Poli Gigi,POLI-338,Zahra Wasita,0209849178462974,done,2025-03-16 17:00:00,dr. Fajar
1744,Poli Umum,POLI-884,Purwadi Napitupulu,5609212454241909,done,2025-03-06 12:00:00,dr. Citra
1745,Poli Umum,POLI-394,Bakijan Fujiati,1448431862411437,done,2025-03-20 16:00:00,dr. Budi
1746,Poli KB,POLI-592,"Jabal Samosir, S.Farm",5015503600209951,done,2025-01-15 11:00:00,dr. Fajar
1747,Poli Gizi,POLI-554,Putri Sirait,0183017898360856,waiting,2025-02-14 11:00:00,dr. Citra
1748,Poli Lansia,POLI-444,Prabawa Tamba,0736981730854713,done,2025-02-04 14:00:00,dr. Fajar
1749,Poli Lansia,POLI-500,Hardana Hartati,9594599811366767,done,2025-02-08 17:00:00,dr. Andi
1750,Poli KIA,POLI-355,Ira Dabukke,2390429579846629,done,2025-01-05 09:00:00,dr. Fajar
1751,Poli Umum,POLI-503,Drs. Farhunnisa Haryanti,9452216255720472,done,2025-01-27 12:00:00,dr. Fajar
1752,Poli Lansia,POLI-837,Sarah Lazuardi,4692724285904083,waiting,2025-05-17 12:00:00,dr. Andi
1753,Poli Gizi,POLI-066,Heryanto Yuniar,2921502351539573,done,2025-03-09 11:00:00,dr. Andi
1754,Poli Lansia,POLI-509,KH. Ajiman Halimah,4921740315649937,waiting,2025-04-21 14:00:00,dr. Andi
1755,Poli KIA,POLI-139,Tgk. Puji Prakasa,4322988614601774,done,2025-05-28 17:00:00,dr. Fajar
1756,Poli KIA,POLI-586,Laksana Laksita,8697334822389707,serving,2025-05-29 18:00:00,dr. Andi
1757,Poli Gizi,POLI-997,R.A. Mutia Gunarto,5192123011659959,done,2025-02-08 17:00:00,dr. Fajar
